target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other
avongov.org/,avongov.org,,,,,,,,,
www.avonlake.org/,avonlake.org,,,,,,,,,
www.avon-ma.gov/,avonmass.org,,,,,,,,,
avonpark.cc/,avonpark.cc,,,,,,,,,
avontownship.org/,avontownship.org,,,,,,,,,
awendawsc.org/,awendawsc.org,,,,,,,,,
#N/A,aww.aww-sp.com,,U.S. Coast Guard,,,,,,,
www.ayden.com/,ayden.com,,,,,,,,,
azbbhe.us/,azbbhe.us,,,,,,,,,
www.azcommerce.com/,azcommerce.com,,,,,,,,,
azdentalboard.us/,azdentalboard.us,,,,,,,,,
azstateparks.com/,azstateparks.com,,,,,,,,,
www.babbitt-mn.com/,babbitt-mn.com,,,,,,,,,
backusmn.com/,backusmn.com,,,,,,,,,
www.badgerlandcfc.org/_root/,badgerlandcfc.org,,Combined Federal Campaign,,,,,,,
badin.org/,badin.org,,,,,,,,,
bainbridgecity.com/,bainbridgecity.com,,,,,,,,,
bainbridgeny.org/,bainbridgeny.org,,,,,,,,,
bainbridgetwp.com/,bainbridgetwp.com,,,,,,,,,
bakercity.com/,bakercity.com,,,,,,,,,
www.bakercounty.org,bakercounty.org,,,,,,,,,
208.75.175.18/testsite/,bakercountyfl.org,,,,,,,,,
www.bakersfieldcity.us/,bakersfieldcity.us,,,,,,,,,
baldwinborough.org/,baldwinborough.org,,,,,,,,,
www.baldwincity.org/,baldwincity.org,,,,,,,,,
www.baldwincountyga.com/,baldwincountyga.com,,,,,,,,,
baldwinpark.com,baldwinpark.com,,,,,,,,,
www.baldwinsville.org/,baldwinsville.org,,,,,,,,,
baldwintownship.com/,baldwintownship.com,,,,,,,,,
www.baldwintownship.govoffice.com/,baldwintownship.govoffice.com,,,,,,,,,
baldwintownship.net/,baldwintownship.net,,,,,,,,,
www.balharbourgov.com/,balharbourgov.com,,,,,,,,,
www.balkantownship.com/,balkantownship.com,,,,,,,,,
ballardsvillefire.com/,ballardsvillefire.com,,,,,,,,,
ballville.org/,ballville.org,,,,,,,,,
www.ballwin.mo.us/,ballwin.mo.us,,,,,,,,,
www.baltic.govoffice.com/,baltic.govoffice.com,,,,,,,,,
baltimoreohio.org/,baltimoreohio.org,,,,,,,,,
www.baltometro.org/,baltometro.org,,,,,,,,,
bambergsc.com/,bambergsc.com,,,,,,,,,
banderacounty.org/,banderacounty.org,,,,,,,,,
www.baragacounty.org/,baragacounty.org,,,,,,,,,
www.barnegat.net/,barnegat.net,,,,,,,,,
www.barnes-wi.com/,barnes-wi.com,,,,,,,,,
www.barnesvillemd.org,barnesvillemd.org,,,,,,,,,
www.barnesvillemn.com/,barnesvillemn.com,,,,,,,,,
barnetvt.org/,barnetvt.org,,,,,,,,,
www.barnstablecounty.org/,barnstablecounty.org,,,,,,,,,
barnstead.org/,barnstead.org,,,,,,,,,
www.barrecity.org/,barrecity.org,,,,,,,,,
barretown.org/,barretown.org,,,,,,,,,
barrierislandscouncil.com/,barrierislandscouncil.com,,,,,,,,,
barringtonboro.com/,barringtonboro.com,,,,,,,,,
www.barrowga.org/,barrowga.org,,,,,,,,,
www.barrycounty.org/,barrycounty.org,,,,,,,,,
barstowca.org,barstowca.org,,,,,,,,,
www.bartholomew.in.gov/courts.html,bartholomewco.com,,,,,,,,,
www.townofbartlettnh.org/,bartlettnh.org,,,,,,,,,
barton.allconet.org/,barton.allconet.org,,,,,,,,,
www.bartoncounty.org/,bartoncounty.org,,,,,,,,,
bartowga.org/,bartowga.org,,,,,,,,,
basalt.net/,basalt.net,,,,,,,,,
www.bassriver-nj.org/,bassriver-nj.org,,,,,,,,,
www.batavianewyork.com/,batavianewyork.com,,,,,,,,,
batesburg-leesville.org/,batesburg-leesville.org,,,,,,,,,
www.bathcountyva.org/,bathcountyva.org,,,,,,,,,
bathtownship.org/,bathtownship.org,,,,,,,,,
